timestamp,sn,text
2019-03-28 10:52:00,publictvnews,"ಕಾಂಗ್ರೆಸ್‍ಗೆ ಮತ ನೀಡಿ ಕುಮಾರಸ್ವಾಮಿ ಸಿಎಂ ಸ್ಥಾನ ಭದ್ರಗೊಳಿಸಿ: ವೀರಪ್ಪ ಮೊಯ್ಲಿ
https://t.co/CJwGEIa0bY

#Congress #JDS… https://t.co/ruDqcQ6CaJ"
2019-03-28 10:52:00,_aBoxOffice,"#Congress urges #EC to stop Modi biopic's release #PMNarendraModi

Read #ABO Story | @_aBoxOffice | #BoxOffice | https://t.co/qoh46ql96F"
2019-03-28 10:52:00,_India71,"#Congress urges #EC to stop Modi biopic's release #PMNarendraModi

Read #ABO Story | @_aBoxOffice | #BoxOffice | https://t.co/kBkzLAb4j6"
2019-03-28 10:51:49,MrccnorthWest,RT @PriyaDutt_INC: Alone we can do so little; together we can do so much. Visited different areas in Santacruz (w) on 27th March and I’m ov…
2019-03-28 10:51:31,YogesshG,"#RahulGandhi #Congress #narendramodi #PMO #PriyankaGandhi Your A/C XXXXX9565 Credited INR 72,000.00 on 28/03/19 -De… https://t.co/g1hvEsMvyF"
2019-03-28 10:51:20,GutznGlory,#CONgress #BJP https://t.co/WFmpvJYS2l
2019-03-28 10:51:19,firstpost,"#Manipur, which has a #BJP government led by #NBirenSingh, will go to polls in two phases. The fight in the state i… https://t.co/wqah3d54Mq"
2019-03-28 10:51:05,Shadeedahmadkh4,"RT @report_real: ""Badhaai ho"", mocks #Congress on #PMModi having completed 100 scams
#ModiScamCentury 
https://t.co/mXbHy4y7gf"
2019-03-28 10:50:33,sartaj_idrisi,RT @PriyaDutt_INC: Alone we can do so little; together we can do so much. Visited different areas in Santacruz (w) on 27th March and I’m ov…
2019-03-28 10:50:28,Rajeevhappy792,"RT @i_PrashantRana: ""The base of formation of APP was the unhappiness of people against congress &amp; BJP"" @ArvindKejriwal at public meeting.U…"
2019-03-28 10:50:21,khajasyed29,"RT @rakeshprakash1: #Bengaluru: #Karnataka CM H D Kumaraswamy, his cabinet colleagues &amp; senior #Congress leaders protest in front of the in…"
2019-03-28 10:50:20,Rocky4Bhai,RT @anusha_puppala: With 6.3  million views @YSRCParty campaign song #RavaliJaganKavaliJagan becomes the most viewed song by an Indian poli…
2019-03-28 10:50:01,VAbubakkar,"19th may #saynotoMODI.DECISION IS YOURS #indian 
#congress #RahulGandhi 🤗"
2019-03-28 10:50:01,BSAVA_Angharad,RT @streetpawsvet: Delighted to be attending @BSAVACONGRESS again this year come to see us on stand A34 #BSAVA19 #congress #vet #charity ht…
2019-03-28 10:49:54,Thomasarulraj1,RT @dharunkumaran: #RG4India #Vote4Congress #congress #LokSabhaElections2019 @SanjaySDutt @HasibaAmin @SaralPatel https://t.co/m7tPh6X6SO
2019-03-28 10:49:48,NEIndia_ANI,"RT @WeTheNagas: NPP candidate O Tinu Longkumer ‘Missing': Police say he is safe and healthy.

Read more at:  https://t.co/71YzrHRBaP

#Naga…"
2019-03-28 10:49:39,ankursuthar007,@RahulGandhi @rssurjewala @sherryontopp @priyankac19 @priyankagandhi @ShilpiSinghINC @HardikPatel_ #RahulCheatsPoor… https://t.co/pqFX7vs0iN
2019-03-28 10:49:02,HindSena8,"@theskindoctor13 @lag_ja_gale @ANI #CONgress will realiz their blunder when starts talking!!! One day, he will star… https://t.co/PH9hqlAqDa"
2019-03-28 10:48:43,basava_hk,"RT @werwolf_sk: Real face of #Karnataka government on #loan waiver.

Do you still want to vote for #jds &amp; #congress  😑

That's how they are…"
2019-03-28 10:48:43,anil3d4959,RT @PriyaDutt_INC: Alone we can do so little; together we can do so much. Visited different areas in Santacruz (w) on 27th March and I’m ov…
2019-03-28 10:48:36,pennewstweet,"PM should apologise for comparing opposition to liquor, making fun of ‘NYAY’ scheme: Cong
#PMModi #apologise… https://t.co/PEEYOuoNz1"
2019-03-28 10:48:35,moin2_k,"RT @umasudhir: When #Apollo family came out to offer political panacea: #SangitaReddy, wife of #Congress candidate for #Chevella LS @KVishR…"
2019-03-28 10:48:20,onlytg_gt,"ये अंतरिक्ष ही गांधी परिवार की देन है - खुर्जेवाला 
😂😂 #MissionShakti #DRDO #ASAT #RahulGandhi #Congress"
2019-03-28 10:48:05,Perumal56497962,"RT @SanjaySDutt: On way to #Karaikal to address #Congress #LoksabhaElection mtg, paid tributes to our all time inspiration &amp; beloved leader…"
2019-03-28 10:48:00,alpeshbhatt,"RT @GallaGossip: अरे अपने घर मैं क्या हो रहा है वो देखो 

#NarendraModi #BJP #CongressMuktBharat #Congress #congresskifakediaries #Congress…"
2019-03-28 10:47:45,07ShivamJaiswal,RT @InUthdotcom: Actor #UrmilaMatondkar is making her debut in politics for #Congress at the 2019 elections https://t.co/NFxvPROUDJ
2019-03-28 10:47:37,SILANGOVAN12,"RT @SanjaySDutt: On way to #Karaikal to address #Congress #LoksabhaElection mtg, paid tributes to our all time inspiration &amp; beloved leader…"
2019-03-28 10:47:19,Varunp08011997,"RT @report_real: ""Badhaai ho"", mocks #Congress on #PMModi having completed 100 scams
#ModiScamCentury 
https://t.co/mXbHy4y7gf"
2019-03-28 10:47:10,SocialBoss01,"Enamoured by the politics and ideology of the #RSS and the #BJP, #Tejasvi 's tweets eulogise Prime Minister… https://t.co/FS6zAfFXOX"
2019-03-28 10:46:47,RashidK66024862,RT @1stIndiaNews: VIDEO: #जोधपुर लोकसभा सीट से #कांग्रेस प्रत्याशी का सस्पेंस हुआ समाप्त ! #Jodhpur #Rajasthan #Election2019 #Congress Watc…
2019-03-28 10:45:50,tony_karyakarta,"RT @chandanmainas: #Congress led UPA👇
Surgical Strike : Don't do it
Air Strike: Don't do it
A-SAT Missile: Don't do it

#Modi Sarkar👇
Surgi…"
2019-03-28 10:45:45,talentednews,"पीएम रोजाना स्वांग, प्रपंच और गालियों से करते हैं बात!

#Congress #PMModi #LoksabhaElections2019 #DramaKing… https://t.co/utup2flvns"
2019-03-28 10:45:41,FlipNewsz,"Will give you positive news during Navaratri: Shatrughan Sinha on joining Congress
#shatrughansinha #rahulgandhi… https://t.co/UMjGrzqs2G"
2019-03-28 10:45:33,Claritymay16,RT @NewsLiveGhy: #LokSabhaElections2019 | Rhino poaching at the Kaziranga National Park was rampant when the #Congress was in power. But af…
2019-03-28 10:45:32,RashidK66024862,"RT @1stIndiaNews: #कांग्रेस की सूची को लेकर काउंटडाउन शुरू, ये संभावित नाम हो सकते हैं शामिल #Jaipur #Rajasthan #Election2019 #Congress #co…"
2019-03-28 10:45:26,RashidK66024862,RT @1stIndiaNews: VIDEO: ज्योति मिर्धा टिकट विवाद को लेकर 'लेटेस्ट अपडेट' ! #Nagaur #Congress #Election2019 #BJP Watch Live : https://t.co/…
2019-03-28 10:45:16,apnnewsindia,#Congress alleges that the govt has done away with the scheme under which govt of India used to buy Subsidized Suga… https://t.co/NAL4zEheSy
2019-03-28 10:45:12,PMK_Tweets,"அவர்களுக்கு திட்ட தான் தெரியும் ,
நமக்கு #திட்டங்கள் கொடுக்க தான் தெரியும் .

#அன்புமணிராமதாஸ்

#Schemes… https://t.co/bwhptSL87Y"
2019-03-28 10:45:09,TheChronicle12,"‘Let Us Not Play Politics On DRDO’s Shakti Mission The Achievement Is Pride For Nation’, BJP Leader Ram Madhav… https://t.co/v1Jq23zSjD"
2019-03-28 10:44:53,TOIBengaluru,Karnataka CM H D Kumaraswamy stages a protest in front of the #INCOMETAX dept in #Bengaluru. This is the first time… https://t.co/cLLWle4WUS
2019-03-28 10:44:52,OnlinEmage_,"After #BJP Snub, @ShatruganSinha Says Will Join #Congress Soon https://t.co/Vq0AMaEqRu"
2019-03-28 10:44:32,DDeepakkumarr,@timesofindia @RahulGandhi And From Pappu To Giant Killer Rahul@timesofindia #Indianexpress #bjp #congress #india #bbc #cnn #cgtn
2019-03-28 10:44:31,RashidK66024862,"RT @1stIndiaNews: सोशल मीडिया पर लड़ी जा रही चुनावी जंग, #भाजपा की बजाय प्रदेश #कांग्रेस सोशल मीडिया कैंप में पिछड़ी #Jaipur #Rajasthan #Co…"
2019-03-28 10:44:21,WFNhindi,"दिल्ली में कांग्रेस अध्यक्ष राहुल गांधी से शत्रुघ्न सिन्हा ने मुलाकात की।
#ShatrughanSinha #joinCongressparty… https://t.co/wqcWOtJDoF"
2019-03-28 10:44:16,MastrBlue,"Meh. I will accept the need for #AGBarr and #Mueller to testify before #Congress...
AFTER the NEW #SpecialCounsel i… https://t.co/zEYCx6dM9r"
2019-03-28 10:44:00,saying_as_it_is,"Sir ji, ये Ra-Owl है.....इसलिए इसकी #Congress हर चीज़ का credit लेगी पर 'गरीबी' का नहीं. गरीबी 'state of mind' जो… https://t.co/HRCMOO1HV4"
2019-03-28 10:43:57,mohitbehlTOI,"RT @EconomicTimes: The war of words between the #Congress and ruling #BJP sharpened over #Nyay, the opposition party’s minimum income guara…"
2019-03-28 10:43:52,Hemendr81970007,@RahulGandhi let country know about your nyay scheme...please tell us that how will congress manage this big amount… https://t.co/YJV3a1UXNf
2019-03-28 10:43:45,chetan_shetty11,"RT @publictvnews: ಪ್ರಾಮಾಣಿಕವಾಗಿ ದುಡಿಯುವ ಎತ್ತುಗಳು ಐಟಿ ದಾಳಿಗೆ ಹೆದರಲ್ಲ: ಸಿಎಂಗೆ ಸಿಟಿ ರವಿ ಟಾಂಗ್
https://t.co/TY2hk3g1oL

#CTRavi #Congress #ITRa…"
2019-03-28 10:43:38,IncSakthi,"RT @SanjaySDutt: On way to #Karaikal to address #Congress #LoksabhaElection mtg, paid tributes to our all time inspiration &amp; beloved leader…"
2019-03-28 10:43:24,MahendraRout3,"RT @Udayindiaonline: PM @narendramodi in Meerut: From Nehru to Indira, everyone talked about eliminating poverty, but it did nothing. Pover…"
2019-03-28 10:43:18,hearthacker41,RT @PriyaDutt_INC: Alone we can do so little; together we can do so much. Visited different areas in Santacruz (w) on 27th March and I’m ov…
2019-03-28 10:43:07,MikeDesai,RT @PriyaDutt_INC: Alone we can do so little; together we can do so much. Visited different areas in Santacruz (w) on 27th March and I’m ov…
2019-03-28 10:43:02,kaistha_deepak,"Urmila Matondkar joins Congress 
#dkoding #congress #politics #UrmilaMatondkar
https://t.co/jQXFf51vLg"
